2019,12,29,9,12,17,4.72,125.3,21.2,5.4
2019,12,28,18,25,45,1.42,128.43,53.1,4.8
2019,12,25,16,56,25,4.03,126.73,26.6,5.3
2019,12,15,14,9,12,1.8,127.22,116.9,5.4
2019,12,5,12,24,44,5.48,126.78,40.6,5.7
2019,11,24,14,48,6,-0.11,124.37,52.7,5
2019,11,18,11,24,8,1.89,126.22,30.7,5
2019,11,17,11,8,4,1.56,126.34,28.6,4.9
2019,11,16,10,19,19,1.8,126.16,27.3,5.9
2019,11,15,23,44,37,1.66,126.45,29.8,5
2019,11,15,12,52,27,1.84,126.24,30.2,5.1
2019,11,15,9,36,28,1.65,126.26,34.2,5
2019,11,15,5,34,50,1.72,126.08,32.4,5.1
2019,11,15,3,13,3,1.81,126.41,32.7,5.2
2019,11,15,1,17,43,1.69,126.25,28.8,6
2019,11,14,23,17,26,1.74,126.29,27.5,5.6
2019,11,14,22,42,29,1.73,126.23,30.1,5.5
2019,11,14,22,34,27,1.78,126.26,29.2,5.5
2019,11,14,22,15,15,1.78,126.44,30.3,5.4
2019,11,14,21,37,31,1.72,126.21,33.4,5.7
2019,11,14,21,13,1,1.72,126.1,26.2,6.1
2019,11,14,20,54,7,1.71,126.37,26.1,5.6
2019,11,14,20,39,12,1.8,126.26,33,5.7
2019,11,14,20,19,52,1.71,126.42,29.9,5.6
2019,11,14,18,45,45,1.64,126.15,36,6
2019,11,14,16,17,47,1.66,126.32,29.6,7.1
2019,11,12,2,48,32,1.58,123.46,29,5
2019,11,11,23,41,2,1.53,127.06,105.3,5.4
2019,11,8,19,57,24,4.93,127.4,57.6,5.1
2019,11,7,22,41,29,5.66,126.31,89.4,5.1
2019,11,1,2,34,1,3.29,127.23,16,5.7
2019,10,30,17,29,4,1.46,126.36,31.5,5.4
2019,10,24,13,38,18,1.13,124.24,248.4,5.7
2019,10,18,13,18,43,4.85,125.12,32.3,5
2019,10,17,1,28,57,5.21,126.3,86.6,5
2019,10,13,19,35,15,-0.11,124.65,25,5.3
2019,9,29,7,40,18,5.62,126.58,83.7,5.3
2019,9,29,2,2,53,5.65,126.58,77.3,6.2
2019,9,18,7,1,4,5.4,126.61,30.4,5.7
2019,9,10,23,32,26,4.08,126.79,29.3,5.7
2019,9,4,20,7,15,0.37,126.21,26.4,4.8
2019,9,4,18,9,46,0.21,126.01,27.8,5.1
2019,9,4,13,37,49,2.41,126.64,45.1,5
2019,9,1,11,57,35,5.38,126.97,96,4.8
2019,8,6,3,51,20,2.32,126.17,48.3,5.2
2019,7,18,17,17,54,0.16,126.32,21.9,5.3
2019,7,11,21,46,43,0.15,126.37,21.1,5.3
2019,7,11,21,24,28,0.38,126.49,27.7,5
2019,7,8,23,58,22,0.82,126.21,30.8,5
2019,7,8,18,52,38,0.35,126.38,19.6,5.9
